"Cor","CorRange","CorrB","CorrStrong","interaction","n1","n2","name","name2","Pvalue","selected","shared interaction","shared name","v1","v2"
"0.3897","Weak","Positive","Positive_Weak","interacts with","Mesorhizobium","Pseudomonas","ASV879_Mesorhizobium (interacts with) ASV48_Pseudomonas","Mesorhizobium_Pseudomonas","0.004","false","interacts with","ASV879_Mesorhizobium (interacts with) ASV48_Pseudomonas","ASV879","ASV48"
"0.3868","Weak","Positive","Positive_Weak","interacts with","Mesorhizobium","Pseudomonas","ASV87_Mesorhizobium (interacts with) ASV717_Pseudomonas","Mesorhizobium_Pseudomonas","0.009","false","interacts with","ASV87_Mesorhizobium (interacts with) ASV717_Pseudomonas","ASV87","ASV717"
"-0.3756","Weak","Negative","Negative_Weak","interacts with","ANPR","Pseudomonas","ASV89_ANPR (interacts with) ASV717_Pseudomonas","ANPR_Pseudomonas","0.001","false","interacts with","ASV89_ANPR (interacts with) ASV717_Pseudomonas","ASV89","ASV717"
"-0.371","Weak","Negative","Negative_Weak","interacts with","ANPR","Pseudomonas","ASV89_ANPR (interacts with) ASV48_Pseudomonas","ANPR_Pseudomonas","0.004","false","interacts with","ASV89_ANPR (interacts with) ASV48_Pseudomonas","ASV89","ASV48"
"-0.3744","Weak","Negative","Negative_Weak","interacts with","ANPR","Pseudomonas","ASV89_ANPR (interacts with) ASV57_Pseudomonas","ANPR_Pseudomonas","0.004","false","interacts with","ASV89_ANPR (interacts with) ASV57_Pseudomonas","ASV89","ASV57"
"-0.3444","Weak","Negative","Negative_Weak","interacts with","ANPR","Pseudomonas","ASV82_ANPR (interacts with) ASV717_Pseudomonas","ANPR_Pseudomonas","0.002","false","interacts with","ASV82_ANPR (interacts with) ASV717_Pseudomonas","ASV82","ASV717"
"-0.3699","Weak","Negative","Negative_Weak","interacts with","ANPR","Pseudomonas","ASV82_ANPR (interacts with) ASV57_Pseudomonas","ANPR_Pseudomonas","0.007","false","interacts with","ASV82_ANPR (interacts with) ASV57_Pseudomonas","ASV82","ASV57"
"-0.3572","Weak","Negative","Negative_Weak","interacts with","ANPR","Pseudomonas","ASV78_ANPR (interacts with) ASV48_Pseudomonas","ANPR_Pseudomonas","0.006","false","interacts with","ASV78_ANPR (interacts with) ASV48_Pseudomonas","ASV78","ASV48"
"-0.3689","Weak","Negative","Negative_Weak","interacts with","ANPR","Pseudomonas","ASV78_ANPR (interacts with) ASV717_Pseudomonas","ANPR_Pseudomonas","0.004","false","interacts with","ASV78_ANPR (interacts with) ASV717_Pseudomonas","ASV78","ASV717"
"-0.2998","Weak","Negative","Negative_Weak","interacts with","ANPR","Pseudomonas","ASV75_ANPR (interacts with) ASV141_Pseudomonas","ANPR_Pseudomonas","0.009","false","interacts with","ASV75_ANPR (interacts with) ASV141_Pseudomonas","ASV75","ASV141"
"-0.3575","Weak","Negative","Negative_Weak","interacts with","ANPR","Pseudomonas","ASV75_ANPR (interacts with) ASV57_Pseudomonas","ANPR_Pseudomonas","0.008","false","interacts with","ASV75_ANPR (interacts with) ASV57_Pseudomonas","ASV75","ASV57"
"-0.4181","Strong","Negative","Negative_Strong","interacts with","ANPR","Pseudomonas","ASV75_ANPR (interacts with) ASV717_Pseudomonas","ANPR_Pseudomonas","0.002","false","interacts with","ASV75_ANPR (interacts with) ASV717_Pseudomonas","ASV75","ASV717"
"-0.3642","Weak","Negative","Negative_Weak","interacts with","Mesorhizobium","Pseudomonas","ASV81_Mesorhizobium (interacts with) ASV48_Pseudomonas","Mesorhizobium_Pseudomonas","0.004","false","interacts with","ASV81_Mesorhizobium (interacts with) ASV48_Pseudomonas","ASV81","ASV48"
"-0.3611","Weak","Negative","Negative_Weak","interacts with","Mesorhizobium","Pseudomonas","ASV81_Mesorhizobium (interacts with) ASV57_Pseudomonas","Mesorhizobium_Pseudomonas","0.004","false","interacts with","ASV81_Mesorhizobium (interacts with) ASV57_Pseudomonas","ASV81","ASV57"
