,H2S2,CV,ASV
ASV1018_Mesorhizobium,0.0,2,ASV1018_Mesorhizobium
ASV186_Mesorhizobium,0.0,2,ASV186_Mesorhizobium
ASV474_Mesorhizobium,0.0,2,ASV474_Mesorhizobium
ASV188_Mesorhizobium,0.0,2,ASV188_Mesorhizobium
ASV217_Mesorhizobium,0.0,2,ASV217_Mesorhizobium
ASV328_unknown,0.0,2,ASV328_unknown
ASV832_unknown,0.0,2,ASV832_unknown
ASV30_Mesorhizobium,0.0,2,ASV30_Mesorhizobium
ASV358_Mesorhizobium,0.0,2,ASV358_Mesorhizobium
ASV295_Mesorhizobium,0.0,2,ASV295_Mesorhizobium
ASV29_Mesorhizobium,0.0,2,ASV29_Mesorhizobium
ASV38_Mesorhizobium,0.0,2,ASV38_Mesorhizobium
ASV85_Mesorhizobium,0.0,2,ASV85_Mesorhizobium
ASV250_Mesorhizobium,0.0,2,ASV250_Mesorhizobium
ASV79_Mesorhizobium,0.0,2,ASV79_Mesorhizobium
ASV244_ANPR,0.0,2,ASV244_ANPR
ASV231_Mesorhizobium,0.0,2,ASV231_Mesorhizobium
ASV984_Aminobacter,0.0,2,ASV984_Aminobacter
ASV427_ANPR,0.0,2,ASV427_ANPR
ASV19_Mesorhizobium,0.0,2,ASV19_Mesorhizobium
ASV44_Mesorhizobium,0.0,2,ASV44_Mesorhizobium
ASV403_ANPR,0.0,2,ASV403_ANPR
ASV20_Mesorhizobium,0.0,2,ASV20_Mesorhizobium
ASV435_Mesorhizobium,0.0,2,ASV435_Mesorhizobium
ASV43_unknown,0.0,2,ASV43_unknown
ASV534_Cutibacterium,-3.649977715654401e-06,2,ASV534_Cutibacterium
ASV23_Mesorhizobium,-5.89483612355577e-06,2,ASV23_Mesorhizobium
ASV879_Mesorhizobium,-2.1929536014876998e-05,2,ASV879_Mesorhizobium
ASV292_Mesorhizobium,-2.2052182981427616e-05,2,ASV292_Mesorhizobium
ASV646_ANPR,-7.42751035566348e-05,2,ASV646_ANPR
ASV359_Mesorhizobium,-9.143148927568456e-05,2,ASV359_Mesorhizobium
ASV202_unknown,-9.220592969406754e-05,2,ASV202_unknown
ASV458_unknown,-9.43173779768922e-05,2,ASV458_unknown
ASV426_unknown,-0.000117896722471115,2,ASV426_unknown
ASV81_Mesorhizobium,-0.00012589059031600184,2,ASV81_Mesorhizobium
ASV197_Mesorhizobium,-0.00022915304528718829,2,ASV197_Mesorhizobium
ASV336_Mesorhizobium,-0.00025260906334611714,2,ASV336_Mesorhizobium
ASV64_Mesorhizobium,-0.0002572760501837949,2,ASV64_Mesorhizobium
ASV1447_Rugamonas,-0.000281951514592272,2,ASV1447_Rugamonas
